# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
22

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,FuselageGeom,0,MDGIJXXVTA,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,56,17
# x,y,z,u,w
6.639159208470617024e+00, -5.906483977098293536e-01, -1.345604538724121557e+00, 1.800000000000000044e+00, 1.250000000000000000e+00
6.585959100550821788e+00, -1.110874636020816153e+00, -1.067672754675490721e+00, 1.800000000000000044e+00, 1.500000000000000000e+00
6.523779860346719417e+00, -1.478773773811502767e+00, -6.008498598029797799e-01, 1.800000000000000044e+00, 1.750000000000000000e+00
6.475376348185418074e+00, -1.604790941835354756e+00, -1.972819672130945307e-02, 1.800000000000000044e+00, 2.000000000000000000e+00
6.458019139128201580e+00, -1.408940691154666913e+00, 4.663883153851158814e-01, 1.800000000000000044e+00, 2.250000000000000000e+00
6.464168509482214553e+00, -9.929898989290810718e-01, 7.862854037539086516e-01, 1.800000000000000044e+00, 2.500000000000000000e+00
6.478851211312358416e+00, -5.047594424653982781e-01, 9.538455943997824482e-01, 1.800000000000000044e+00, 2.750000000000000000e+00
6.487040939319267174e+00, -4.384000867935053495e-17, 1.004989254179456726e+00, 1.800000000000000044e+00, 3.000000000000000000e+00
6.478851211312358416e+00, 5.047594424654002765e-01, 9.538455943997816711e-01, 1.800000000000000044e+00, 3.250000000000000000e+00
6.464168509482214553e+00, 9.929898989290818490e-01, 7.862854037539086516e-01, 1.800000000000000044e+00, 3.500000000000000000e+00
6.458019139128201580e+00, 1.408940691154667357e+00, 4.663883153851155483e-01, 1.800000000000000044e+00, 3.750000000000000000e+00
6.475376348185418962e+00, 1.604790941835354534e+00, -1.972819672131163188e-02, 1.800000000000000044e+00, 4.000000000000000000e+00
7.163517199677506220e+00, 1.683673469387755084e+00, 8.411592505854782742e-02, 2.000000000000000000e+00, 0.000000000000000000e+00
7.163517199677504443e+00, 1.540087668337289051e+00, -5.162672329929928194e-01, 2.000000000000000000e+00, 2.500000000000000000e-01
7.163517199677504443e+00, 1.152948972175686704e+00, -9.985985849892022870e-01, 2.000000000000000000e+00, 5.000000000000000000e-01
7.163517199677504443e+00, 6.116977538443211238e-01, -1.300076469203276019e+00, 2.000000000000000000e+00, 7.500000000000000000e-01
7.163517199677506220e+00, -1.998401444325281378e-15, -1.401598360655737840e+00, 2.000000000000000000e+00, 1.000000000000000000e+00
